subscription_id,user_id,plan_type,start_date,end_date,status,created_at
S_000054,U_000036,Pro,2022-11-10,2023-04-09,canceled,2022-11-10
S_000055,U_000037,Pro,2022-05-11,2024-01-31,canceled,2022-05-11
S_000056,U_000037,Basic,2024-02-09,,active,2024-02-09
S_000057,U_000038,Basic,2024-08-16,,active,2024-08-16
S_000058,U_000039,Basic,2022-01-24,2023-10-16,active,2022-01-24
S_000059,U_000040,Basic,2023-07-01,2024-06-25,canceled,2023-07-01
S_000060,U_000040,Basic,2024-07-24,,active,2024-07-24
S_000061,U_000041,Pro,2023-08-25,2024-05-21,active,2023-08-25
S_000062,U_000041,Basic,2024-06-05,,active,2024-06-05
S_000063,U_000042,Enterprise,2024-07-18,,active,2024-07-18
S_000064,U_000043,Pro,2024-10-22,,active,2024-10-22
S_000065,U_000044,Pro,2022-08-06,2023-09-30,canceled,2022-08-06
S_000066,U_000045,Pro,2023-02-12,2023-06-12,active,2023-02-12
S_000067,U_000045,Enterprise,2023-06-19,2023-09-17,canceled,2023-06-19
S_000068,U_000046,Basic,2022-11-27,2023-06-25,canceled,2022-11-27
S_000069,U_000047,Basic,2022-01-02,2022-05-02,canceled,2022-01-02
S_000070,U_000048,Basic,2024-09-27,,active,2024-09-27
S_000071,U_000048,Basic,2024-09-27,,active,2024-09-27
S_000072,U_000049,Basic,2024-01-14,,active,2024-01-14
S_000073,U_000050,Enterprise,2022-04-29,2022-12-25,canceled,2022-04-29
S_000074,U_000050,Basic,2023-01-24,2024-02-18,canceled,2023-01-24
S_000075,U_000051,Basic,2022-06-11,2023-12-03,canceled,2022-06-11
S_000076,U_000051,Pro,2023-12-21,,active,2023-12-21
S_000077,U_000052,Pro,2022-05-22,2023-08-15,active,2022-05-22
S_000078,U_000053,Basic,2022-09-20,2023-03-19,canceled,2022-09-20
S_000079,U_000053,Basic,2023-03-29,2024-07-21,canceled,2023-03-29
S_000080,U_000054,Basic,2022-12-05,2024-04-28,canceled,2022-12-05
S_000081,U_000054,Pro,2024-05-07,,active,2024-05-07
S_000082,U_000055,Enterprise,2024-05-16,2024-07-15,canceled,2024-05-16
S_000083,U_000056,Basic,2023-02-16,2024-05-11,active,2023-02-16
S_000084,U_000056,Basic,2024-06-08,,active,2024-06-08
S_000085,U_000057,Pro,2024-02-04,,active,2024-02-04
S_000086,U_000057,Basic,2024-02-04,2024-05-04,active,2024-02-04
S_000087,U_000058,Enterprise,2024-07-13,,active,2024-07-13
S_000088,U_000058,Basic,2024-07-13,,active,2024-07-13
S_000089,U_000059,Pro,2023-04-06,2024-04-30,canceled,2023-04-06
S_000090,U_000059,Pro,2024-05-20,,active,2024-05-20
S_000091,U_000060,Pro,2022-02-13,2023-05-09,canceled,2022-02-13
S_000092,U_000061,Basic,2023-04-17,2024-05-11,canceled,2023-04-17
S_000093,U_000061,Basic,2024-06-06,,active,2024-06-06
S_000094,U_000062,Basic,2022-01-15,2023-05-10,active,2022-01-15
S_000095,U_000063,Basic,2023-04-14,2024-12-04,active,2023-04-14
S_000096,U_000063,Basic,2024-12-14,,active,2024-12-14
S_000097,U_000064,Basic,2023-11-08,,active,2023-11-08
S_000098,U_000064,Enterprise,2023-11-08,2024-03-07,canceled,2023-11-08
S_000099,U_000065,Basic,2023-05-03,2024-07-26,canceled,2023-05-03
S_000100,U_000065,Basic,2024-08-09,,active,2024-08-09
S_000101,U_000066,Basic,2023-03-15,2024-06-07,canceled,2023-03-15
S_000102,U_000066,Pro,2024-07-05,2024-12-02,canceled,2024-07-05
S_000103,U_000067,Pro,2024-08-26,,active,2024-08-26
S_000104,U_000067,Pro,2024-08-26,,active,2024-08-26
S_000105,U_000068,Basic,2024-04-13,2024-11-09,active,2024-04-13
S_000106,U_000068,Basic,2024-11-14,,active,2024-11-14
S_000107,U_000069,Basic,2022-07-18,2024-05-08,canceled,2022-07-18
S_000108,U_000069,Basic,2024-05-26,,active,2024-05-26
S_000109,U_000070,Pro,2024-05-17,,active,2024-05-17
S_000110,U_000071,Basic,2022-04-21,2022-09-18,canceled,2022-04-21
S_000111,U_000071,Basic,2022-09-29,2022-12-28,canceled,2022-09-29
S_000112,U_000072,Basic,2024-04-04,,active,2024-04-04
S_000113,U_000073,Pro,2023-05-25,,active,2023-05-25
S_000114,U_000073,Basic,2023-05-25,,active,2023-05-25
S_000115,U_000074,Basic,2024-07-07,2024-11-04,canceled,2024-07-07
S_000116,U_000075,Basic,2023-01-11,2024-09-02,canceled,2023-01-11
S_000117,U_000076,Basic,2023-05-27,2024-03-22,canceled,2023-05-27
S_000118,U_000077,Basic,2022-07-20,2024-01-11,canceled,2022-07-20
S_000119,U_000078,Enterprise,2022-01-31,2023-06-25,canceled,2022-01-31
S_000120,U_000078,Basic,2023-07-19,2024-08-12,canceled,2023-07-19
S_000121,U_000079,Pro,2022-12-07,2024-01-01,canceled,2022-12-07
S_000122,U_000079,Pro,2024-01-18,,active,2024-01-18
S_000123,U_000080,Pro,2024-09-12,2024-11-11,canceled,2024-09-12
S_000124,U_000080,Basic,2024-12-08,,active,2024-12-08
S_000125,U_000081,Pro,2022-05-01,2023-10-23,canceled,2022-05-01
S_000126,U_000082,Basic,2022-01-05,2023-09-27,canceled,2022-01-05
S_000127,U_000083,Pro,2024-07-20,2024-09-18,active,2024-07-20
S_000128,U_000083,Basic,2024-10-03,,active,2024-10-03
S_000129,U_000084,Enterprise,2024-09-23,,active,2024-09-23
S_000130,U_000085,Basic,2023-08-31,,active,2023-08-31
S_000131,U_000085,Basic,2023-08-31,,active,2023-08-31
S_000132,U_000086,Basic,2022-05-05,2023-09-27,active,2022-05-05
S_000133,U_000087,Pro,2022-04-13,2023-03-09,canceled,2022-04-13
S_000134,U_000088,Pro,2024-10-26,,active,2024-10-26
S_000135,U_000089,Basic,2022-04-27,2022-08-25,canceled,2022-04-27
S_000136,U_000090,Basic,2023-01-16,2024-05-10,active,2023-01-16
S_000137,U_000090,Pro,2024-05-30,,active,2024-05-30
S_000138,U_000091,Basic,2022-05-20,2024-04-09,canceled,2022-05-20
S_000139,U_000092,Enterprise,2022-09-03,2022-11-02,canceled,2022-09-03
S_000140,U_000092,Enterprise,2022-11-17,2023-09-13,canceled,2022-11-17
S_000141,U_000093,Enterprise,2022-03-23,2024-02-11,canceled,2022-03-23
S_000142,U_000093,Enterprise,2024-02-20,,active,2024-02-20
S_000143,U_000094,Basic,2024-05-08,,active,2024-05-08
S_000144,U_000094,Basic,2024-05-08,,active,2024-05-08
S_000145,U_000095,Pro,2024-12-06,,active,2024-12-06
S_000146,U_000096,Pro,2023-02-23,2024-09-15,active,2023-02-23
S_000147,U_000096,Pro,2024-10-03,,active,2024-10-03
S_000148,U_000097,Basic,2023-06-28,2023-10-26,canceled,2023-06-28
S_000149,U_000097,Pro,2023-11-10,2024-07-07,canceled,2023-11-10
S_000150,U_000098,Basic,2023-09-07,2024-09-01,active,2023-09-07
S_000151,U_000098,Pro,2024-09-24,,active,2024-09-24
S_000152,U_000099,Basic,2022-05-29,2023-01-24,active,2022-05-29
S_000153,U_000100,Pro,2022-07-24,2024-06-13,active,2022-07-24
S_000154,U_000100,Basic,2024-06-22,,active,2024-06-22
S_000155,U_000101,Basic,2023-03-13,2023-05-12,canceled,2023-03-13
S_000156,U_000102,Basic,2022-09-29,2023-08-25,active,2022-09-29
S_000157,U_000102,Pro,2023-09-14,2024-03-12,canceled,2023-09-14
S_000158,U_000103,Basic,2023-05-16,2024-04-10,canceled,2023-05-16
S_000159,U_000104,Basic,2022-11-20,2024-11-09,canceled,2022-11-20
S_000160,U_000105,Basic,2023-09-12,,active,2023-09-12
S_000161,U_000106,Basic,2022-01-17,2023-01-12,canceled,2022-01-17
S_000162,U_000106,Basic,2023-02-08,2023-11-05,canceled,2023-02-08
S_000163,U_000107,Pro,2022-08-01,2023-09-25,canceled,2022-08-01
S_000164,U_000108,Enterprise,2022-08-25,2024-03-17,canceled,2022-08-25
S_000165,U_000109,Enterprise,2022-11-15,2024-01-09,canceled,2022-11-15
S_000166,U_000109,Pro,2024-01-30,2024-12-25,canceled,2024-01-30
S_000167,U_000110,Basic,2023-03-08,2024-03-02,canceled,2023-03-08
S_000168,U_000110,Pro,2024-03-25,2024-06-23,active,2024-03-25
S_000169,U_000111,Basic,2023-06-25,2024-01-21,canceled,2023-06-25
S_000170,U_000111,Pro,2024-02-09,,active,2024-02-09
S_000171,U_000112,Basic,2023-05-30,2024-01-25,canceled,2023-05-30
S_000172,U_000113,Pro,2024-05-17,,active,2024-05-17
S_000173,U_000113,Basic,2024-05-17,2024-11-13,canceled,2024-05-17
S_000174,U_000114,Enterprise,2022-01-08,2022-06-07,canceled,2022-01-08
S_000175,U_000115,Enterprise,2023-06-21,2023-11-18,active,2023-06-21
S_000176,U_000116,Basic,2024-05-25,2024-11-21,canceled,2024-05-25
S_000177,U_000116,Basic,2024-12-08,,active,2024-12-08
S_000178,U_000117,Basic,2022-08-18,2023-07-14,canceled,2022-08-18
S_000179,U_000118,Pro,2022-03-15,2024-02-03,canceled,2022-03-15
S_000180,U_000118,Basic,2024-03-03,,active,2024-03-03
S_000181,U_000119,Basic,2022-10-31,2024-08-21,canceled,2022-10-31
S_000182,U_000119,Basic,2024-08-26,2024-12-24,canceled,2024-08-26
S_000183,U_000120,Basic,2022-03-27,2023-11-17,active,2022-03-27
S_000184,U_000121,Pro,2022-03-23,2022-08-20,canceled,2022-03-23
S_000185,U_000121,Basic,2022-08-30,2024-06-20,canceled,2022-08-30
S_000186,U_000122,Basic,2023-05-27,2023-09-24,canceled,2023-05-27
S_000187,U_000123,Basic,2024-04-12,,active,2024-04-12
S_000188,U_000124,Basic,2023-04-30,2024-11-20,canceled,2023-04-30
S_000189,U_000125,Basic,2024-04-24,,active,2024-04-24
S_000190,U_000125,Basic,2024-04-24,,active,2024-04-24
S_000191,U_000126,Pro,2023-11-12,2024-07-09,active,2023-11-12
S_000192,U_000127,Pro,2023-07-01,,active,2023-07-01
S_000193,U_000128,Basic,2024-02-23,,active,2024-02-23
S_000194,U_000129,Basic,2023-04-01,2023-09-28,canceled,2023-04-01
S_000195,U_000129,Basic,2023-10-23,,active,2023-10-23
S_000196,U_000130,Pro,2023-12-18,2024-03-17,canceled,2023-12-18
S_000197,U_000130,Basic,2024-03-25,,active,2024-03-25
S_000198,U_000131,Basic,2023-04-02,,active,2023-04-02
S_000199,U_000132,Basic,2024-03-27,2024-06-25,active,2024-03-27
S_000200,U_000133,Pro,2022-05-23,2023-09-15,canceled,2022-05-23
S_000201,U_000133,Pro,2023-10-05,,active,2023-10-05
S_000202,U_000134,Pro,2024-11-09,,active,2024-11-09
S_000203,U_000134,Basic,2024-11-09,,active,2024-11-09
S_000204,U_000135,Basic,2023-11-10,2024-07-07,canceled,2023-11-10
S_000205,U_000136,Pro,2023-06-19,2024-02-14,canceled,2023-06-19
S_000206,U_000137,Pro,2023-06-28,2024-09-20,canceled,2023-06-28
S_000207,U_000138,Basic,2024-06-08,,active,2024-06-08
S_000208,U_000138,Basic,2024-06-08,2024-10-06,active,2024-06-08
S_000209,U_000139,Enterprise,2024-06-12,2024-12-09,canceled,2024-06-12
S_000210,U_000139,Pro,2024-12-16,,active,2024-12-16
S_000211,U_000140,Pro,2022-08-25,2024-04-16,canceled,2022-08-25
S_000212,U_000141,Basic,2023-01-25,2023-07-24,canceled,2023-01-25
S_000213,U_000142,Basic,2024-06-12,,active,2024-06-12
S_000214,U_000142,Basic,2024-06-12,,active,2024-06-12
S_000215,U_000143,Basic,2023-02-08,2024-12-29,canceled,2023-02-08
S_000216,U_000144,Pro,2022-05-24,2023-06-18,active,2022-05-24
S_000217,U_000144,Basic,2023-07-17,2024-04-12,canceled,2023-07-17
S_000218,U_000145,Enterprise,2023-10-05,2024-07-01,canceled,2023-10-05
S_000219,U_000145,Pro,2024-07-09,2024-12-06,canceled,2024-07-09
S_000220,U_000146,Basic,2024-11-04,,active,2024-11-04
S_000221,U_000146,Basic,2024-11-04,,active,2024-11-04
S_000222,U_000147,Basic,2023-10-31,,active,2023-10-31
S_000223,U_000147,Basic,2023-10-31,2024-01-29,canceled,2023-10-31
S_000224,U_000148,Basic,2022-09-18,2024-08-08,active,2022-09-18
S_000225,U_000148,Basic,2024-08-30,,active,2024-08-30
S_000226,U_000149,Basic,2024-02-16,2024-12-12,canceled,2024-02-16
S_000227,U_000149,Pro,2025-01-02,,active,2025-01-02
S_000228,U_000150,Basic,2023-09-09,,active,2023-09-09
S_000229,U_000151,Basic,2022-01-01,2023-10-23,active,2022-01-01
S_000230,U_000151,Pro,2023-11-19,,active,2023-11-19
S_000231,U_000152,Pro,2023-03-07,2023-10-03,canceled,2023-03-07
S_000232,U_000152,Pro,2023-10-19,,active,2023-10-19
S_000233,U_000153,Basic,2023-10-22,,active,2023-10-22
S_000234,U_000153,Basic,2023-10-22,,active,2023-10-22
S_000235,U_000154,Basic,2024-06-24,2024-10-22,active,2024-06-24
S_000236,U_000155,Pro,2024-08-27,,active,2024-08-27
S_000237,U_000155,Basic,2024-08-27,,active,2024-08-27
S_000238,U_000156,Basic,2023-08-05,2023-11-03,canceled,2023-08-05
S_000239,U_000157,Pro,2023-11-18,2024-01-17,active,2023-11-18
S_000240,U_000157,Pro,2024-02-04,2024-08-02,canceled,2024-02-04
S_000241,U_000158,Basic,2023-09-28,,active,2023-09-28
S_000242,U_000159,Enterprise,2022-10-29,2022-12-28,canceled,2022-10-29
S_000243,U_000160,Basic,2023-05-17,,active,2023-05-17
S_000244,U_000160,Enterprise,2023-05-17,2024-11-07,canceled,2023-05-17
S_000245,U_000161,Enterprise,2022-05-30,2024-04-19,active,2022-05-30
S_000246,U_000161,Basic,2024-05-18,,active,2024-05-18
S_000247,U_000162,Basic,2023-02-03,2023-08-02,canceled,2023-02-03
S_000248,U_000163,Basic,2024-03-29,2024-10-25,canceled,2024-03-29
S_000249,U_000163,Basic,2024-11-02,,active,2024-11-02
S_000250,U_000164,Pro,2022-01-12,2022-06-11,canceled,2022-01-12
S_000251,U_000165,Basic,2023-03-25,2023-05-24,canceled,2023-03-25
S_000252,U_000165,Basic,2023-06-16,2024-05-11,active,2023-06-16
S_000253,U_000166,Enterprise,2024-08-09,,active,2024-08-09
S_000254,U_000167,Basic,2023-05-26,2023-07-25,canceled,2023-05-26
S_000255,U_000167,Basic,2023-08-09,2024-01-06,canceled,2023-08-09
S_000256,U_000168,Basic,2022-10-01,2022-11-30,canceled,2022-10-01
S_000257,U_000169,Basic,2023-10-12,,active,2023-10-12
S_000258,U_000170,Basic,2024-10-30,,active,2024-10-30
S_000259,U_000171,Basic,2024-07-02,,active,2024-07-02
S_000260,U_000172,Basic,2024-07-10,,active,2024-07-10
S_000261,U_000172,Basic,2024-07-10,,active,2024-07-10
S_000262,U_000173,Pro,2023-07-22,,active,2023-07-22
S_000263,U_000173,Pro,2023-07-22,2023-12-19,active,2023-07-22
S_000264,U_000174,Basic,2023-05-05,2024-05-29,canceled,2023-05-05
S_000265,U_000174,Basic,2024-06-03,,active,2024-06-03
S_000266,U_000175,Basic,2022-06-08,2023-05-04,canceled,2022-06-08
S_000267,U_000176,Pro,2023-07-11,2023-10-09,canceled,2023-07-11
S_000268,U_000176,Enterprise,2023-10-20,,active,2023-10-20
S_000269,U_000177,Basic,2022-06-15,2023-11-07,canceled,2022-06-15
S_000270,U_000177,Pro,2023-12-07,2024-06-04,canceled,2023-12-07
S_000271,U_000178,Basic,2023-04-19,2024-06-12,canceled,2023-04-19
S_000272,U_000178,Pro,2024-06-20,2024-12-17,canceled,2024-06-20
S_000273,U_000179,Pro,2023-03-15,2023-12-10,canceled,2023-03-15
S_000274,U_000180,Enterprise,2024-04-14,2024-06-13,canceled,2024-04-14
S_000275,U_000180,Basic,2024-06-27,2024-10-25,canceled,2024-06-27
S_000276,U_000181,Pro,2024-08-12,,active,2024-08-12
S_000277,U_000182,Basic,2023-02-28,2023-07-28,active,2023-02-28
S_000278,U_000183,Pro,2022-02-10,2023-05-06,canceled,2022-02-10
S_000279,U_000184,Pro,2024-09-03,,active,2024-09-03
S_000280,U_000185,Basic,2023-09-04,,active,2023-09-04
S_000281,U_000186,Basic,2023-03-28,2023-09-24,canceled,2023-03-28
S_000282,U_000187,Enterprise,2023-07-13,2024-10-05,canceled,2023-07-13
S_000283,U_000188,Pro,2022-03-01,2023-04-25,canceled,2022-03-01
S_000284,U_000189,Basic,2024-04-08,,active,2024-04-08
S_000285,U_000190,Basic,2022-09-19,2023-12-13,canceled,2022-09-19
S_000286,U_000190,Basic,2023-12-27,,active,2023-12-27
S_000287,U_000191,Enterprise,2022-02-25,2024-02-15,canceled,2022-02-25
S_000288,U_000191,Pro,2024-03-01,2024-09-27,canceled,2024-03-01
S_000289,U_000192,Basic,2022-02-25,2023-07-20,canceled,2022-02-25
S_000290,U_000192,Basic,2023-08-13,2024-03-10,canceled,2023-08-13
S_000291,U_000193,Basic,2022-10-05,2023-03-04,canceled,2022-10-05
S_000292,U_000193,Pro,2023-03-09,2023-09-05,canceled,2023-03-09
S_000293,U_000194,Pro,2022-04-13,2023-12-04,canceled,2022-04-13
S_000294,U_000194,Basic,2023-12-20,2024-10-15,canceled,2023-12-20
S_000295,U_000195,Pro,2023-11-02,2024-04-30,canceled,2023-11-02
S_000296,U_000196,Basic,2023-11-01,,active,2023-11-01
S_000297,U_000197,Basic,2023-07-24,2024-11-15,active,2023-07-24
S_000298,U_000198,Basic,2022-06-17,2023-11-09,active,2022-06-17
S_000299,U_000198,Basic,2023-11-20,2024-05-18,canceled,2023-11-20
S_000300,U_000199,Basic,2022-04-17,2023-02-11,active,2022-04-17
S_000301,U_000199,Pro,2023-03-12,2024-10-02,active,2023-03-12
S_000302,U_000200,Pro,2022-05-21,2022-10-18,active,2022-05-21
S_000303,U_000200,Basic,2022-10-25,2024-04-17,active,2022-10-25
S_000304,U_000201,Basic,2023-05-22,2024-03-17,canceled,2023-05-22
S_000305,U_000202,Basic,2022-11-09,2024-07-01,canceled,2022-11-09
S_000306,U_000202,Basic,2024-07-28,,active,2024-07-28
S_000307,U_000203,Pro,2024-08-27,,active,2024-08-27
S_000308,U_000203,Enterprise,2024-08-27,,active,2024-08-27
S_000309,U_000204,Pro,2023-03-23,2024-05-16,canceled,2023-03-23
S_000310,U_000204,Basic,2024-06-02,,active,2024-06-02
S_000311,U_000205,Basic,2024-01-26,2024-08-23,canceled,2024-01-26
S_000312,U_000206,Pro,2022-08-23,2024-02-14,canceled,2022-08-23
S_000313,U_000207,Basic,2022-08-10,2023-05-07,canceled,2022-08-10
S_000314,U_000207,Basic,2023-05-20,2023-12-16,canceled,2023-05-20
S_000315,U_000208,Basic,2023-10-01,,active,2023-10-01
S_000316,U_000209,Enterprise,2024-03-23,,active,2024-03-23
S_000317,U_000210,Basic,2023-05-13,2023-08-11,canceled,2023-05-13
S_000318,U_000211,Basic,2022-09-05,2022-11-04,canceled,2022-09-05
S_000319,U_000212,Basic,2023-12-13,,active,2023-12-13
S_000320,U_000212,Pro,2023-12-13,2024-10-08,canceled,2023-12-13
S_000321,U_000213,Basic,2024-01-29,2024-04-28,canceled,2024-01-29
S_000322,U_000213,Pro,2024-05-03,,active,2024-05-03
S_000323,U_000214,Basic,2023-11-30,2024-01-29,canceled,2023-11-30
S_000324,U_000214,Enterprise,2024-02-27,,active,2024-02-27
S_000325,U_000215,Pro,2024-09-30,,active,2024-09-30
S_000326,U_000216,Enterprise,2024-01-12,2024-11-07,active,2024-01-12
S_000327,U_000216,Pro,2024-12-02,,active,2024-12-02
S_000328,U_000217,Basic,2024-06-10,,active,2024-06-10
S_000329,U_000217,Basic,2024-06-10,,active,2024-06-10
S_000330,U_000218,Basic,2023-07-08,2024-04-03,canceled,2023-07-08
S_000331,U_000218,Basic,2024-04-21,,active,2024-04-21
S_000332,U_000219,Basic,2024-09-17,,active,2024-09-17
S_000333,U_000220,Pro,2023-07-04,2024-01-30,canceled,2023-07-04
S_000334,U_000221,Pro,2022-06-27,2022-08-26,canceled,2022-06-27
S_000335,U_000222,Pro,2023-05-15,2024-01-10,canceled,2023-05-15
S_000336,U_000222,Basic,2024-01-17,,active,2024-01-17
S_000337,U_000223,Basic,2024-02-16,,active,2024-02-16
S_000338,U_000223,Basic,2024-02-16,2024-04-16,canceled,2024-02-16
S_000339,U_000224,Basic,2024-10-09,2024-12-08,canceled,2024-10-09
S_000340,U_000224,Enterprise,2025-01-02,,active,2025-01-02
S_000341,U_000225,Pro,2024-09-25,,active,2024-09-25
S_000342,U_000226,Enterprise,2023-06-14,,active,2023-06-14
S_000343,U_000227,Pro,2023-07-20,2023-09-18,active,2023-07-20
S_000344,U_000228,Pro,2024-11-24,,active,2024-11-24
S_000345,U_000228,Basic,2024-11-24,,active,2024-11-24
S_000346,U_000229,Pro,2023-05-10,2024-04-04,canceled,2023-05-10
S_000347,U_000229,Basic,2024-04-13,,active,2024-04-13
S_000348,U_000230,Pro,2023-05-08,2023-10-05,canceled,2023-05-08
S_000349,U_000230,Basic,2023-10-11,2024-09-05,canceled,2023-10-11
S_000350,U_000231,Basic,2024-07-06,,active,2024-07-06
S_000351,U_000232,Basic,2023-08-26,2024-10-19,canceled,2023-08-26
S_000352,U_000233,Basic,2023-05-14,,active,2023-05-14
S_000353,U_000233,Basic,2023-05-14,,active,2023-05-14
S_000354,U_000234,Basic,2024-01-26,2024-06-24,canceled,2024-01-26
S_000355,U_000235,Basic,2024-12-23,,active,2024-12-23
S_000356,U_000235,Basic,2024-12-23,,active,2024-12-23
S_000357,U_000236,Pro,2023-11-09,2024-06-06,canceled,2023-11-09
S_000358,U_000237,Pro,2023-07-09,2024-01-05,active,2023-07-09
S_000359,U_000238,Pro,2023-04-18,2024-03-13,canceled,2023-04-18
S_000360,U_000238,Basic,2024-03-21,,active,2024-03-21
S_000361,U_000239,Enterprise,2023-10-09,,active,2023-10-09
S_000362,U_000239,Pro,2023-10-09,2023-12-08,active,2023-10-09
S_000363,U_000240,Basic,2023-01-15,2024-03-10,canceled,2023-01-15
S_000364,U_000241,Pro,2024-09-18,,active,2024-09-18
S_000365,U_000241,Basic,2024-09-18,,active,2024-09-18
S_000366,U_000242,Basic,2024-12-10,,active,2024-12-10
S_000367,U_000243,Pro,2022-07-25,2023-08-19,canceled,2022-07-25
S_000368,U_000244,Pro,2023-04-11,2024-07-04,canceled,2023-04-11
S_000369,U_000244,Basic,2024-07-29,,active,2024-07-29
S_000370,U_000245,Basic,2023-09-12,,active,2023-09-12
S_000371,U_000246,Basic,2022-09-17,2024-02-09,canceled,2022-09-17
S_000372,U_000246,Basic,2024-02-21,,active,2024-02-21
S_000373,U_000247,Basic,2022-04-22,2024-04-11,active,2022-04-22
S_000374,U_000247,Pro,2024-04-23,,active,2024-04-23
S_000375,U_000248,Basic,2022-09-16,2022-11-15,canceled,2022-09-16
S_000376,U_000248,Enterprise,2022-12-05,2023-05-04,canceled,2022-12-05
S_000377,U_000249,Pro,2022-01-26,2022-07-25,canceled,2022-01-26
S_000378,U_000249,Pro,2022-08-03,2024-02-24,active,2022-08-03
S_000379,U_000250,Basic,2024-08-19,,active,2024-08-19
S_000380,U_000251,Pro,2023-11-29,2024-04-27,active,2023-11-29
S_000381,U_000252,Basic,2023-06-02,2023-08-01,canceled,2023-06-02
S_000382,U_000253,Basic,2022-05-14,2022-10-11,canceled,2022-05-14
S_000383,U_000253,Basic,2022-10-18,2024-07-09,active,2022-10-18
S_000384,U_000254,Basic,2022-06-01,2022-09-29,canceled,2022-06-01
S_000385,U_000255,Basic,2022-11-07,2023-06-05,canceled,2022-11-07
S_000386,U_000255,Pro,2023-06-14,,active,2023-06-14
S_000387,U_000256,Basic,2023-09-15,2024-09-09,canceled,2023-09-15
S_000388,U_000256,Pro,2024-10-04,,active,2024-10-04
S_000389,U_000257,Basic,2022-08-31,2024-06-21,canceled,2022-08-31
